variant,task,role,model,run,found,total,false_positives,minor_found,minor_total,pass,latency_s,input_tokens,output_tokens,cost,pi_status,thinking
glm,taste-defects,taste,ollama-cloud/deepseek-v4-flash:0731,1,4,4,0,0,0,,52,35771,5292,0.006490,0,high
current,taste-defects,taste,ollama-cloud/deepseek-v4-flash:0731,1,4,4,0,0,0,,42,38247,4103,0.006503,0,high
deepseek,taste-defects,taste,ollama-cloud/deepseek-v4-flash:0731,1,4,4,0,0,0,,74,66278,6836,0.011193,0,high
current,taste-defects,taste,ollama-cloud/deepseek-v4-flash:0731,2,4,4,0,0,0,,65,36135,7147,0.007060,0,high
current,taste-defects,taste,ollama-cloud/deepseek-v4-flash:0731,3,4,4,0,0,0,,51,45847,4873,0.007783,0,high
glm,taste-defects,taste,ollama-cloud/deepseek-v4-flash:0731,2,4,4,0,0,0,,71,34236,6238,0.006540,0,high
glm,taste-defects,taste,ollama-cloud/deepseek-v4-flash:0731,3,4,4,0,0,0,,71,33604,4282,0.005904,0,high
deepseek,taste-defects,taste,ollama-cloud/deepseek-v4-flash:0731,2,4,4,0,0,0,,60,33847,6296,0.006501,0,high
deepseek,taste-defects,taste,ollama-cloud/deepseek-v4-flash:0731,3,4,4,0,0,0,,57,51099,6194,0.008888,0,high
current,adversarial-config,implementer,openai-codex/gpt-5.6-terra,1,,,,,,1,26,30984,584,0.043171,0,high
glm,adversarial-config,implementer,openai-codex/gpt-5.6-terra,1,,,,,,1,16,12885,299,0.022907,0,high
deepseek,adversarial-config,implementer,openai-codex/gpt-5.6-terra,1,,,,,,1,208,34727,715,0.041170,0,high
current,taste-clean,taste,ollama-cloud/deepseek-v4-flash:0731,1,0,0,3,0,0,,249,57584,5733,0.009667,0,high
current,adversarial-config,implementer,openai-codex/gpt-5.6-terra,2,,,,,,1,18,17058,460,0.021204,0,high
glm,taste-clean,taste,ollama-cloud/deepseek-v4-flash:0731,1,0,0,0,0,0,,36,37352,3468,0.006200,0,high
current,test-python-defects,test,openai-codex/gpt-5.6-sol,1,4,5,0,2,2,,303,39926,3758,0.180466,0,high
glm,adversarial-config,implementer,openai-codex/gpt-5.6-terra,2,,,,,,1,53,27042,536,0.031946,0,high
deepseek,taste-clean,taste,ollama-cloud/deepseek-v4-flash:0731,1,0,0,0,0,0,,41,43548,3676,0.007126,0,high
deepseek,adversarial-config,implementer,openai-codex/gpt-5.6-terra,2,,,,,,1,29,35294,365,0.032574,0,high
current,adversarial-config,implementer,openai-codex/gpt-5.6-terra,3,,,,,,1,32,14694,302,0.024718,0,high
glm,adversarial-config,implementer,openai-codex/gpt-5.6-terra,3,,,,,,1,18,18168,354,0.025838,0,high
glm,test-python-defects,test,openai-codex/gpt-5.6-sol,1,4,5,1,2,2,,93,37063,3710,0.176807,0,high
deepseek,adversarial-config,implementer,openai-codex/gpt-5.6-terra,3,,,,,,1,22,19942,479,0.029043,0,high
current,taste-clean,taste,ollama-cloud/deepseek-v4-flash:0731,2,0,0,0,0,0,,88,55708,5046,0.009212,0,high
deepseek,test-python-defects,test,openai-codex/gpt-5.6-sol,1,4,5,0,2,2,,81,42590,3366,0.214858,0,high
glm,taste-clean,taste,ollama-cloud/deepseek-v4-flash:0731,2,0,0,1,0,0,,67,29340,6368,0.005891,0,high
deepseek,taste-clean,taste,ollama-cloud/deepseek-v4-flash:0731,2,0,0,0,0,0,,31,27785,2549,0.004604,0,high
current,test-python-defects,test,openai-codex/gpt-5.6-sol,2,4,5,0,2,2,,114,58620,4785,0.268458,0,high
current,taste-clean,taste,ollama-cloud/deepseek-v4-flash:0731,3,0,0,0,0,0,,58,47611,4565,0.007944,0,high
